id,protocol,source_ip,source_port,dest_ip,dest_port,action,time
47,tcp,202.95.15.108,443,45.224.149.15,601,established,2025-03-09 13:42:07
48,tcp,192.168.20.24,4515,8.222.149.19,443,established,2025-03-10 15:03:52
49,tcp,199.188.205.22,443,45.224.149.15,348,established,2025-03-10 13:18:13
50,tcp,172.8.26.12,39048,8.222.156.181,443,established,2025-03-09 01:26:52
51,tcp,170.39.193.187,4966,45.224.149.15,999,established,2025-03-10 17:14:34
52,tcp,172.8.26.3,34340,43.134.167.162,52,established,2025-03-10 21:11:05
53,tcp,95.129.234.27,443,45.224.149.15,345,established,2025-03-09 10:51:49
54,tcp,170.39.194.215,5010,45.224.149.15,999,established,2025-03-10 09:22:53
55,tcp,172.8.26.7,53408,144.195.13.19,443,established,2025-03-09 10:56:32
56,tcp,45.224.149.15,4783,31.31.196.109,80,established,2025-03-10 01:42:03
57,tcp,170.39.194.40,4978,45.224.149.15,999,established,2025-03-10 04:15:06
58,tcp,45.224.149.15,999,176.65.128.69,419,established,2025-03-09 06:11:36
59,tcp,192.168.20.7,48040,104.237.62.213,44,established,2025-03-09 22:00:33
60,tcp,45.224.149.15,999,176.65.128.69,568,established,2025-03-10 06:33:57
61,tcp,45.224.149.15,999,206.189.81.9,4339,established,2025-03-09 02:57:25
62,tcp,45.224.149.15,999,176.65.128.69,508,established,2025-03-10 00:43:08
63,tcp,170.39.194.215,4618,45.224.149.15,999,established,2025-03-10 06:24:19
64,tcp,95.129.234.27,443,45.224.149.15,411,established,2025-03-10 15:11:00
65,tcp,31.129.97.241,80,45.224.149.15,541,established,2025-03-09 02:24:24
66,tcp,45.224.149.15,4762,31.129.97.241,587,established,2025-03-09 17:33:58
67,tcp,39.106.73.67,80,45.224.149.15,351,established,2025-03-09 03:22:50
68,tcp,95.129.234.27,443,45.224.149.15,402,established,2025-03-09 03:45:58
69,tcp,199.189.85.10,5119,45.224.149.15,999,established,2025-03-09 04:20:23
70,tcp,103.140.90.101,443,45.224.149.15,348,established,2025-03-10 13:21:22
71,tcp,192.168.20.42,3799,163.70.152.21,443,established,2025-03-09 19:17:28
72,tcp,157.245.204.22,5344,45.224.149.15,999,established,2025-03-09 23:48:38
73,tcp,45.224.149.15,3392,195.239.64.55,444,established,2025-03-09 07:56:53
74,tcp,45.224.149.15,5109,91.106.207.43,80,established,2025-03-10 07:35:28
75,tcp,192.168.20.164,4380,74.125.134.188,52,established,2025-03-10 12:45:25
76,tcp,45.224.149.15,4180,199.188.205.22,44,established,2025-03-09 20:51:02
77,tcp,91.106.207.43,80,45.224.149.15,485,established,2025-03-09 08:40:35
78,tcp,202.95.15.108,443,45.224.149.15,435,established,2025-03-09 16:14:45
79,tcp,51.15.21.147,45322,45.224.149.15,999,established,2025-03-09 07:27:21
80,tcp,95.129.234.27,443,45.224.149.15,481,established,2025-03-10 19:22:42
81,tcp,45.224.149.15,4476,199.188.205.22,44,established,2025-03-09 22:58:24
82,tcp,95.129.234.27,443,45.224.149.15,468,established,2025-03-09 15:00:58
83,tcp,45.224.149.15,999,176.65.128.69,471,established,2025-03-09 07:39:45
84,tcp,45.224.149.15,999,139.59.234.8,3501,established,2025-03-10 03:34:32
85,tcp,45.224.149.15,6076,199.188.205.22,44,established,2025-03-10 06:31:57
86,tcp,45.224.149.15,4891,199.188.205.22,44,established,2025-03-09 08:49:55
87,tcp,192.168.20.168,364,1.1.1.1,443,established,2025-03-09 22:15:46
88,tcp,91.106.207.43,80,45.224.149.15,530,established,2025-03-09 19:48:10
89,tcp,192.168.20.17,6492,142.250.98.188,52,established,2025-03-10 00:48:37
90,tcp,31.129.97.241,80,45.224.149.15,468,established,2025-03-09 10:43:33
91,tcp,192.168.20.168,528,223.4.221.28,443,established,2025-03-10 11:57:54
92,tcp,45.224.149.15,4171,31.129.97.241,80,established,2025-03-09 02:01:49
93,tcp,45.224.149.15,999,139.59.234.8,5871,established,2025-03-10 06:42:25
94,tcp,95.129.234.27,443,45.224.149.15,535,established,2025-03-10 20:12:56
95,tcp,146.190.111.136,57,45.224.149.15,999,established,2025-03-09 07:44:21
96,tcp,157.245.196.167,40,45.224.149.15,999,established,2025-03-09 06:26:03
97,tcp,91.106.207.43,80,45.224.149.15,460,established,2025-03-10 10:22:22
98,tcp,45.224.149.15,3300,66.29.132.30,443,established,2025-03-10 01:51:36
99,tcp,104.248.148.61,5432,45.224.149.15,999,established,2025-03-09 01:19:25
100,tcp,103.169.35.190,44,45.224.149.15,42,established,2025-03-10 16:14:49
101,tcp,172.8.26.12,39036,74.125.26.188,52,established,2025-03-10 03:23:08
102,tcp,170.39.194.243,6000,45.224.149.15,99,established,2025-03-10 14:39:11
103,tcp,45.224.149.15,3432,43.130.237.62,80,established,2025-03-09 21:34:41
104,tcp,45.224.149.15,5191,66.29.137.22,443,established,2025-03-09 13:05:30
105,tcp,51.15.21.147,5746,45.224.149.15,99,established,2025-03-09 23:17:43
106,tcp,178.237.58.249,3824,45.224.149.15,99,established,2025-03-09 13:25:52
107,tcp,45.224.149.15,999,128.199.164.67,4,established,2025-03-09 16:07:28
108,tcp,178.237.58.226,5880,45.224.149.15,99,established,2025-03-10 18:42:40
109,tcp,45.224.149.15,999,134.195.158.54,4,established,2025-03-09 06:24:01
110,tcp,45.224.149.15,999,152.42.248.10,37,established,2025-03-10 01:59:44
111,tcp,47.104.185.217,80,45.224.149.15,35,established,2025-03-10 04:59:25
112,tcp,47.104.185.217,80,45.224.149.15,53,established,2025-03-09 21:26:34
113,tcp,104.248.148.61,3464,45.224.149.15,99,established,2025-03-09 19:56:29
114,tcp,45.224.149.15,4395,199.188.205.22,4,established,2025-03-10 03:01:54
115,tcp,192.168.20.235,4804,173.194.210.188,999,established,2025-03-09 08:58:21
116,tcp,45.224.149.15,999,176.65.128.69,46,established,2025-03-10 15:03:48
117,tcp,170.39.193.146,3608,45.224.149.15,99,established,2025-03-09 05:04:38
118,tcp,103.17.76.8,443,45.224.149.15,46,established,2025-03-09 08:25:22
119,tcp,128.199.84.18,3374,45.224.149.15,99,established,2025-03-10 17:54:38
120,tcp,91.106.207.43,80,45.224.149.15,44,established,2025-03-09 10:51:26
121,tcp,91.106.207.43,80,45.224.149.15,40,established,2025-03-10 20:16:01
122,tcp,151.243.11.29,4276,45.224.149.15,99,established,2025-03-09 20:25:09
123,tcp,193.25.166.99,1565,45.224.149.15,99,established,2025-03-10 03:00:17
124,tcp,45.224.149.15,4204,195.239.64.95,80,established,2025-03-09 05:52:01
125,tcp,51.15.21.147,4928,45.224.149.15,99,established,2025-03-09 18:40:54
126,tcp,83.168.95.53,3012,45.224.149.15,34,established,2025-03-10 21:39:02
127,tcp,45.130.41.93,443,45.224.149.15,39,established,2025-03-09 18:12:35
128,tcp,103.140.90.101,44,45.224.149.15,55,established,2025-03-09 13:35:03
129,tcp,103.161.35.88,6066,45.224.149.15,99,established,2025-03-09 22:32:31
130,tcp,45.224.149.15,999,176.65.128.69,55,established,2025-03-10 15:56:18
131,tcp,91.106.207.43,80,45.224.149.15,38,established,2025-03-09 02:25:47
132,tcp,170.39.193.146,6068,45.224.149.15,99,established,2025-03-09 14:16:34
133,tcp,45.224.149.15,999,134.195.158.54,4,established,2025-03-09 16:14:18
134,tcp,51.15.21.147,5754,45.224.149.15,99,established,2025-03-09 16:40:33
135,tcp,45.224.149.15,5279,209.182.232.230,80,established,2025-03-09 10:48:20
136,tcp,47.104.185.217,80,45.224.149.15,52,established,2025-03-09 15:32:59
137,tcp,31.129.97.241,80,45.224.149.15,60,established,2025-03-10 08:16:17
138,tcp,81.94.158.218,5976,45.224.149.15,99,established,2025-03-10 09:25:27
139,tcp,192.168.20.17,3556,108.177.12.188,5,established,2025-03-10 07:15:56
140,tcp,45.224.149.15,999,156.253.227.215,80,established,2025-03-10 01:44:53
141,tcp,45.224.149.15,999,176.65.128.69,49,established,2025-03-10 17:26:17
142,tcp,199.189.85.9,3429,45.224.149.15,99,established,2025-03-09 23:31:58
143,tcp,199.59.243.228,44,45.224.149.15,55,established,2025-03-10 10:37:09
144,tcp,199.189.85.9,3850,45.224.149.15,99,established,2025-03-10 19:47:45
145,tcp,45.224.149.15,999,134.195.158.54,5,established,2025-03-09 22:13:06
146,tcp,31.129.97.241,80,45.224.149.15,42,established,2025-03-10 15:19:21
147,tcp,31.129.97.241,80,45.224.149.15,57,established,2025-03-09 13:30:52
148,tcp,45.224.149.15,5803,209.182.232.230,80,established,2025-03-09 09:37:12
149,tcp,45.224.149.15,3424,202.157.188.52,4,established,2025-03-09 05:29:42
150,tcp,45.224.149.15,3768,43.226.79.178,39,established,2025-03-09 09:29:15
151,tcp,47.104.185.217,80,45.224.149.15,60,established,2025-03-09 21:41:59
152,tcp,45.224.149.15,4670,91.106.207.43,80,established,2025-03-10 10:13:59
153,tcp,45.224.149.15,4787,188.93.211.17,80,established,2025-03-10 13:31:40
154,tcp,192.168.20.58,4944,163.70.152.40,44,established,2025-03-10 11:43:25
155,tcp,45.224.149.15,5442,91.106.207.43,80,established,2025-03-10 05:14:50
156,tcp,199.189.85.13,5662,45.224.149.15,99,established,2025-03-09 01:58:45
157,tcp,45.224.149.15,999,156.253.227.215,80,established,2025-03-09 02:48:13
158,tcp,45.224.149.15,999,128.199.184.37,5,established,2025-03-09 05:54:13
159,tcp,45.224.149.15,5414,66.29.132.30,443,established,2025-03-10 05:31:07
160,tcp,45.224.149.15,999,206.189.81.9,462,established,2025-03-10 13:55:05
161,tcp,199.189.85.13,5996,45.224.149.15,99,established,2025-03-09 02:00:51
162,tcp,45.224.149.15,3356,202.95.15.108,44,established,2025-03-09 18:34:35
163,tcp,192.64.117.94,443,45.224.149.15,53,established,2025-03-09 23:43:51
164,tcp,45.224.149.15,999,178.237.58.226,4,established,2025-03-09 23:19:44
165,tcp,194.233.73.213,5538,45.224.149.15,99,established,2025-03-09 00:15:27
166,tcp,138.201.65.176,2715,45.224.149.15,99,established,2025-03-10 16:49:20
167,tcp,103.251.44.184,44,45.224.149.15,43,established,2025-03-09 13:47:35
168,tcp,45.224.149.15,999,139.59.234.8,479,established,2025-03-10 08:52:33
169,tcp,45.224.149.15,999,163.172.69.173,5,established,2025-03-09 11:23:47
170,tcp,45.224.149.15,4320,66.29.132.30,443,established,2025-03-10 10:16:34
171,tcp,203.161.47.224,3630,45.224.149.15,99,established,2025-03-09 15:46:13
172,tcp,89.169.36.113,5366,45.224.149.15,99,established,2025-03-10 17:41:21
173,tcp,45.224.149.15,999,167.99.74.199,38,established,2025-03-10 12:14:25
174,tcp,45.224.149.15,5246,199.188.205.22,4,established,2025-03-09 03:43:18
175,tcp,45.224.149.15,999,134.195.158.54,4,established,2025-03-10 06:29:23
176,tcp,103.17.76.8,443,45.224.149.15,56,established,2025-03-09 08:27:38
177,tcp,68.183.231.98,4566,45.224.149.15,99,established,2025-03-09 18:10:48
178,tcp,45.224.149.15,999,176.65.128.69,46,established,2025-03-09 05:40:38
179,tcp,45.224.149.15,999,176.65.128.69,43,established,2025-03-09 07:24:39
180,tcp,45.224.149.15,999,176.65.128.69,45,established,2025-03-10 16:11:16
181,tcp,45.224.149.15,4858,66.29.132.30,443,established,2025-03-09 04:21:42
182,tcp,45.224.149.15,5801,80.78.247.148,22,established,2025-03-10 01:29:20
183,tcp,27.124.34.85,80,45.224.149.15,37,established,2025-03-10 16:08:18
184,tcp,45.224.149.15,999,128.199.96.38,60,established,2025-03-09 03:03:31
185,tcp,91.106.207.43,80,45.224.149.15,37,established,2025-03-09 18:08:16
186,tcp,170.39.194.120,3428,45.224.149.15,99,established,2025-03-10 20:25:26
187,tcp,45.224.149.15,999,159.65.134.137,3,established,2025-03-10 05:39:23
188,tcp,45.224.149.15,3435,91.106.207.43,80,established,2025-03-09 13:17:03
189,tcp,45.224.149.15,3442,91.106.207.43,80,established,2025-03-10 06:21:29
190,tcp,178.128.217.124,3,45.224.149.15,99,established,2025-03-10 21:03:30
191,tcp,95.129.234.27,443,45.224.149.15,41,established,2025-03-10 01:53:50
192,tcp,45.224.149.15,999,128.199.164.67,5,established,2025-03-09 17:07:01
193,tcp,178.237.58.240,3388,45.224.149.15,99,established,2025-03-10 09:53:33
194,tcp,45.224.149.15,5887,31.31.196.109,80,established,2025-03-10 20:39:40
195,tcp,89.169.36.113,5246,45.224.149.15,99,established,2025-03-10 05:05:03
196,tcp,199.212.57.88,443,45.224.149.15,41,established,2025-03-10 05:28:12
197,tcp,45.224.149.15,999,178.128.217.152,80,established,2025-03-09 23:42:19
198,tcp,45.224.149.15,4058,91.106.207.43,80,established,2025-03-10 08:47:59
199,tcp,31.129.97.241,80,45.224.149.15,50,established,2025-03-09 21:34:39
200,tcp,45.224.149.15,999,134.195.158.54,5,established,2025-03-10 10:42:03
201,tcp,192.168.20.168,5482,172.172.255.217,80,established,2025-03-10 19:16:23
202,tcp,157.245.196.167,3498,45.224.149.15,99,established,2025-03-10 04:32:42
203,tcp,45.224.149.15,3716,31.129.97.241,15,established,2025-03-10 10:37:23
204,tcp,45.224.149.15,999,178.237.58.240,5,established,2025-03-10 13:11:27
205,tcp,45.224.149.15,3431,31.129.97.241,80,established,2025-03-10 10:58:48
206,tcp,45.224.149.15,4527,31.129.97.241,46,established,2025-03-09 21:57:21
207,tcp,45.224.149.15,999,176.65.128.69,50,established,2025-03-10 05:53:57
208,tcp,104.248.144.152,4,45.224.149.15,99,established,2025-03-09 14:44:31
209,tcp,95.163.238.143,80,45.224.149.15,36,established,2025-03-10 08:46:02
210,tcp,170.39.193.187,3346,45.224.149.15,99,established,2025-03-09 13:26:53
211,tcp,107.149.138.142,43,45.224.149.15,33,established,2025-03-09 02:56:52
212,tcp,45.224.149.15,4634,66.29.132.30,443,established,2025-03-09 02:24:25
213,tcp,178.128.240.16,4356,45.224.149.15,99,established,2025-03-09 09:39:55
214,udp,172.8.26.20,14500,190.111.80.199,4,established,2025-03-10 19:53:30
215,tcp,45.224.149.15,5405,31.129.97.241,80,established,2025-03-10 09:15:11
216,tcp,91.106.207.43,80,45.224.149.15,39,established,2025-03-10 06:43:42
217,tcp,45.224.149.15,3810,195.239.64.95,80,established,2025-03-09 02:49:49
218,tcp,192.168.20.3,5643,173.194.217.188,80,established,2025-03-10 09:28:32
219,tcp,202.95.15.108,443,45.224.149.15,57,established,2025-03-10 11:03:32
220,tcp,50.30.32.54,39404,45.224.149.15,99,established,2025-03-09 06:39:16
221,tcp,47.104.185.217,80,45.224.149.15,58,established,2025-03-09 00:23:36
222,tcp,31.129.97.241,80,45.224.149.15,57,established,2025-03-09 13:09:24
223,tcp,45.224.149.15,3690,31.129.97.241,15,established,2025-03-10 03:42:21
224,tcp,91.106.207.43,80,45.224.149.15,37,established,2025-03-10 21:34:17
225,tcp,31.129.97.241,80,45.224.149.15,40,established,2025-03-10 02:22:39
226,tcp,178.237.58.228,5182,45.224.149.15,99,established,2025-03-09 14:10:32
227,tcp,170.39.194.120,4436,45.224.149.15,99,established,2025-03-09 05:49:28
228,tcp,45.224.149.15,5331,31.129.97.241,80,established,2025-03-10 08:28:10
229,tcp,103.187.215.253,43,45.224.149.15,45,established,2025-03-09 19:05:48
230,tcp,209.97.172.99,6050,45.224.149.15,99,established,2025-03-10 05:17:03
231,tcp,45.224.149.15,5192,31.129.97.241,46,established,2025-03-10 04:21:56
232,tcp,39.106.73.67,80,45.224.149.15,50,established,2025-03-10 08:05:16
233,tcp,95.129.234.27,443,45.224.149.15,56,established,2025-03-10 01:58:05
234,tcp,192.168.20.135,4702,108.177.12.188,5,established,2025-03-09 11:12:33
235,tcp,45.224.149.15,5379,31.129.97.241,58,established,2025-03-10 15:15:02
236,tcp,157.245.196.167,5,45.224.149.15,99,established,2025-03-10 10:59:57
237,tcp,95.129.234.27,443,45.224.149.15,54,established,2025-03-09 10:24:56
238,tcp,103.169.35.190,44,45.224.149.15,39,established,2025-03-10 10:34:41
239,tcp,45.224.149.15,999,157.245.2.213,60,established,2025-03-09 16:09:57
240,tcp,68.183.231.98,4462,45.224.149.15,99,established,2025-03-10 00:26:30
241,tcp,91.106.207.43,80,45.224.149.15,48,established,2025-03-10 16:51:41
242,tcp,45.224.149.15,5229,80.78.247.148,22,established,2025-03-10 17:06:53
243,tcp,45.224.149.15,999,176.65.128.69,57,established,2025-03-10 13:21:29
244,tcp,170.39.193.187,4488,45.224.149.15,99,established,2025-03-09 01:32:02
245,tcp,103.140.90.100,44,45.224.149.15,60,established,2025-03-10 05:24:17
246,tcp,91.106.207.43,80,45.224.149.15,59,established,2025-03-09 03:45:19
247,tcp,45.224.149.15,376,31.129.97.241,58,established,2025-03-10 12:35:43
248,tcp,38.180.249.152,44,45.224.149.15,40,established,2025-03-10 01:49:34
249,tcp,45.224.149.15,557,31.31.196.109,80,established,2025-03-09 07:57:06
250,tcp,45.224.149.15,999,128.199.108.242,80,established,2025-03-10 03:09:36
251,tcp,45.224.149.15,999,128.199.137.27,5,established,2025-03-09 16:40:52
252,tcp,45.224.149.15,999,134.195.158.54,5,established,2025-03-09 05:45:26
253,tcp,45.224.149.15,999,176.65.128.69,49,established,2025-03-09 09:48:50
254,tcp,170.39.194.120,53,45.224.149.15,99,established,2025-03-10 04:25:54
255,tcp,45.224.149.15,554,91.106.207.43,80,established,2025-03-10 15:37:33
256,tcp,45.224.149.15,999,65.109.35.187,56,established,2025-03-10 09:05:23
257,tcp,45.224.149.15,999,139.59.246.23,44,established,2025-03-09 00:58:53
258,tcp,157.245.196.167,4,45.224.149.15,99,established,2025-03-09 17:03:51
259,tcp,45.224.149.15,369,199.188.205.22,4,established,2025-03-10 10:57:19
260,tcp,178.237.58.249,36,45.224.149.15,99,established,2025-03-10 14:33:58
261,tcp,43.226.79.178,395,45.224.149.15,57,established,2025-03-09 01:50:32
262,tcp,45.224.149.15,999,176.65.128.69,43,established,2025-03-10 20:50:06
263,tcp,170.39.194.40,522,45.224.149.15,99,refused,2025-03-09 10:34:35
264,tcp,38.180.249.152,44,45.224.149.15,37,stopped,2025-03-10 18:47:19
265,tcp,188.166.250.118,3,45.224.149.15,99,refused,2025-03-09 04:09:18
266,tcp,192.168.20.46,461,57.144.114.3,443,refused,2025-03-09 15:02:57
267,tcp,45.224.149.15,434,91.106.207.43,80,refused,2025-03-09 04:17:38
268,tcp,91.106.207.43,80,45.224.149.15,55,stopped,2025-03-09 07:44:01
269,tcp,51.81.246.213,443,45.224.149.15,45,stopped,2025-03-10 03:42:26
270,tcp,45.114.61.124,440,45.224.149.15,99,stopped,2025-03-09 00:57:18
271,tcp,157.245.196.167,5,45.224.149.15,99,stopped,2025-03-10 17:45:38
272,tcp,91.106.207.43,80,45.224.149.15,59,stopped,2025-03-09 00:07:14
273,tcp,146.70.52.102,555,45.224.149.15,99,stopped,2025-03-10 14:42:50
274,tcp,172.8.26.7,47716,108.177.11.188,5,stopped,2025-03-09 12:54:51
275,tcp,45.224.149.15,999,206.189.81.9,597,stopped,2025-03-10 08:12:48
276,tcp,45.224.149.15,999,134.195.158.126,80,stopped,2025-03-09 05:17:11
277,tcp,45.224.149.15,999,159.89.197.97,60,stopped,2025-03-09 14:36:51
278,tcp,192.168.20.224,38,74.125.141.188,5,stopped,2025-03-10 20:18:41
279,tcp,45.224.149.15,427,109.194.54.42,80,stopped,2025-03-10 20:42:12
280,tcp,45.224.149.15,594,66.29.132.30,443,stopped,2025-03-09 09:14:56
281,tcp,31.129.97.241,80,45.224.149.15,50,stopped,2025-03-10 09:36:21
282,tcp,45.224.149.15,464,43.130.237.62,80,stopped,2025-03-09 00:20:58
283,tcp,104.248.148.61,50,45.224.149.15,99,stopped,2025-03-10 00:59:26
284,tcp,45.224.149.15,999,65.109.156.114,4,stopped,2025-03-10 08:05:37
285,tcp,45.224.149.15,357,31.129.97.241,46,stopped,2025-03-09 13:36:18
286,tcp,45.224.149.15,444,199.188.205.22,4,stopped,2025-03-10 19:17:06
287,tcp,192.168.20.49,628,52.182.143.208,4,stopped,2025-03-09 01:04:36
288,tcp,170.39.194.215,39,45.224.149.15,99,stopped,2025-03-09 14:25:31
289,tcp,45.224.149.15,331,202.95.15.108,44,stopped,2025-03-10 14:10:50
290,tcp,45.224.149.15,597,199.188.205.22,4,stopped,2025-03-10 15:12:52
291,tcp,45.224.149.15,362,1.94.109.26,80,stopped,2025-03-09 19:44:52
292,tcp,192.168.20.148,33,38.255.20.250,80,stopped,2025-03-09 03:36:40
293,tcp,68.183.225.205,37,45.224.149.15,99,stopped,2025-03-10 04:11:51
294,tcp,45.224.149.15,999,178.237.58.249,4,stopped,2025-03-10 21:20:39
295,tcp,178.128.124.214,3,45.224.149.15,99,stopped,2025-03-10 10:41:26
296,tcp,45.224.149.15,999,176.65.128.69,35,stopped,2025-03-09 09:16:53
297,tcp,45.224.149.15,460,1.94.109.26,80,stopped,2025-03-09 09:17:40
298,tcp,45.224.149.15,999,134.209.102.185,80,stopped,2025-03-09 02:46:59
299,tcp,31.129.97.241,80,45.224.149.15,51,stopped,2025-03-09 16:29:37
300,tcp,91.106.207.43,80,45.224.149.15,53,stopped,2025-03-10 16:20:33
301,tcp,45.224.149.15,999,68.183.238.48,45,stopped,2025-03-10 12:01:37
302,tcp,31.129.97.241,80,45.224.149.15,35,stopped,2025-03-09 05:44:20
303,tcp,170.39.194.215,49,45.224.149.15,99,stopped,2025-03-09 03:22:42
304,tcp,45.224.149.15,353,188.93.211.17,80,stopped,2025-03-10 21:15:39
305,tcp,45.224.149.15,999,178.128.241.124,80,stopped,2025-03-09 03:28:05
306,tcp,45.224.149.15,346,199.188.205.22,4,stopped,2025-03-09 12:22:47
307,tcp,211.101.236.183,4,45.224.149.15,49,stopped,2025-03-10 08:24:53
308,tcp,95.129.234.27,443,45.224.149.15,59,stopped,2025-03-10 01:55:20
309,tcp,170.39.193.146,53,45.224.149.15,99,stopped,2025-03-10 17:43:42
310,tcp,192.168.20.17,523,74.125.196.188,5,stopped,2025-03-09 03:10:15
311,tcp,167.71.209.18,538,45.224.149.15,99,stopped,2025-03-09 15:09:17
312,tcp,192.168.20.224,54,172.217.204.188,80,stopped,2025-03-09 11:35:17
313,tcp,51.15.21.147,5810,45.224.149.15,99,established,2025-03-10 06:50:12
314,tcp,45.224.149.15,353,31.129.97.241,80,stopped,2025-03-09 14:13:33
315,tcp,157.245.154.101,4,45.224.149.15,99,stopped,2025-03-09 20:51:49
316,tcp,95.129.234.27,443,45.224.149.15,43,stopped,2025-03-09 03:53:21
317,tcp,31.129.97.241,80,45.224.149.15,37,stopped,2025-03-09 20:38:59
318,tcp,170.39.194.120,49,45.224.149.15,99,stopped,2025-03-10 12:56:52
319,tcp,170.39.193.187,38,45.224.149.15,99,stopped,2025-03-09 17:06:23
320,tcp,45.224.149.15,999,176.65.128.69,54,stopped,2025-03-09 09:53:04
321,tcp,192.168.20.150,55,54.185.41.35,443,stopped,2025-03-10 18:46:50
322,tcp,178.237.58.240,56,45.224.149.15,99,stopped,2025-03-09 23:19:18
323,tcp,66.29.132.30,443,45.224.149.15,56,stopped,2025-03-09 02:07:35
324,tcp,172.8.26.7,2303,45.57.41.1,443,established,2025-03-10 08:57:42
325,tcp,170.39.193.146,56,45.224.149.15,99,stopped,2025-03-10 04:12:35
326,tcp,45.224.149.15,999,134.195.158.54,6,stopped,2025-03-10 06:59:24
327,tcp,45.224.149.15,568,188.93.211.17,22,stopped,2025-03-10 16:30:49
328,tcp,178.237.58.240,39,45.224.149.15,99,stopped,2025-03-09 04:30:36
329,tcp,13.75.34.176,443,45.224.149.15,38,stopped,2025-03-09 16:43:11
330,tcp,45.224.149.15,999,65.109.119.92,36,stopped,2025-03-09 15:34:06
331,tcp,45.224.149.15,999,152.42.248.10,47,stopped,2025-03-10 16:07:58
332,tcp,192.168.20.119,54,108.177.12.188,5,stopped,2025-03-09 11:28:20
